Usia,Jenis Kelamin,Status Perkawinan,Pendidikan Terakhir,Pekerjaan Utama,Pekerjaan,Rata-rata Pendapatan Per Bulan,Apa alasan utama Anda tidak memilih dalam Pilkada 2024?,Administrasi,Sengaja Golput,Infrastuktur,Apakah Anda mencoblos dalam pilkada-pilkada sebelumnya?,Apakah Anda akan mencoblos dalam Pilkada 5 tahun lagi?,"Menurut Anda, apakah Pilpres lebih menarik dari Pilkada?","Menurut Anda, Apakah Pileg untuk lebih menarik dari Pilkada untuk Anda",Seberapa mudah Anda mengakses TPS tempat Anda terdaftar?,Seberapa aktif Anda mengikuti berita politik lokal di kota Anda?,Dari mana Anda mendapatkan informasi paling sering tentang Pilkada 2024?,"Menurut Anda, seberapa besar pilihan Anda apabila memilih dalam Pilkada berpengaruh pada kehidupan Anda sehari-hari?",Apakah ada tekanan sosial atau politik yang memengaruhi keputusan Anda untuk tidak memilih?,"Apakah Anda merasa bahwa pelaksanaan Pemilu 2024 yang mencakup Pilpres, Pileg, dan Pilkada dalam satu tahun terlalu padat?",Apakah anda merasa kegiatan Pemilu sebelumnya dan pemberitaannya yang terus menerus menghasilkan kelelahan pada pemilihan pilkada (Electoral Fatigue)?,"Apakah Anda mengalami praktik ""vote buying"" untuk tidak memilih saat Pilkada terakhir?","Jika iya, dari mana insentif atau vote buying itu berasal?","Menurut Anda, apakah pemilih perlu diberikan insentif atau penghargaan agar ikut aktif memilih dalam pilkada?","Menurut Anda, apa yang paling penting yang bisa dilakukan agar Pilkada kembali menarik bagi masyarakat?","Pada pilkada yang akan datang, apakah ada faktor yang paling utama yang dapat membuat Anda lebih tertarik untuk memilih?","Jika harapan Anda diatas terpenuhi, apakah Anda akan memilih dalam pilkada berikutnya?"
≥ 60 tahun,Perempuan,Cerai Mati,SMA/Sederajat,Ibu rumah tangga,Ibu rumah tangga,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Sakit,"Ya, selalu",Ya,Ya,Ya,Sangat mudah,Jarang (hanya mendengar sesekali),Televisi,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak Tahu,Membuat informasi pilkada lebih menarik dan mudah diakses,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
40-49 tahun,Laki-Laki,Menikah,Sarjana (S1),Wiraswasta,Wiraswasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,Tidak pernah memilih,Tidak Tahu,Ya,Ya,Sulit,Jarang (hanya mendengar sesekali),Tidak mendapatkan informasi sama sekali,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Sangat besar kemungkinan
50-59 tahun,Laki-Laki,Menikah,SMA/Sederajat,Wiraswasta,Wiraswasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Tidak tahu atau lupa hari pencoblosan,"Ya, selalu",Ya,Ya,Ya,Sangat mudah,Sangat aktif (mengikuti berita setiap hari),Televisi,Cukup berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Sangat besar kemungkinan
20-29 tahun,Laki-Laki,Tidak Menikah,SMA/Sederajat,Pelajar/Mahasiswa,Pelajar/Mahasiswa,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Tidak tahu atau lupa hari pencoblosan,"Ya, pernah",Ya,Ya,Ya,Sangat mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak merasa lelah sama sekali, tetap antusias mengikuti perkembangan Pilkada",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
40-49 tahun,Perempuan,Menikah,Diploma (D1-D3),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,"Ya, pernah",Tidak Tahu,Ya,Ya,Sulit,Jarang (hanya mendengar sesekali),Televisi,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak merasa lelah sama sekali, tetap antusias mengikuti perkembangan Pilkada",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
50-59 tahun,Laki-Laki,Menikah,SMA/Sederajat,Wiraswasta,Wiraswasta,< Rp. 2.500.000,Sengaja Golput,,Tidak tertarik atau jenuh terhadap politik,,"Ya, pernah",Tidak Tahu,Ya,Tidak,Sangat mudah,Jarang (hanya mendengar sesekali),Surat kabar/majalah,Tidak terlalu berpengaruh,"Ya, tekanan dari lingkungan tetangga","Ya, terlalu padat dan membebani pemilih","Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Tidak,"Disetiap calon dipilih berdasarkan prestasi individu calon, tidak dari partai, andaikan dari partai tetap berdasarkan kualifikasi transparan","Terdapat calon berdasarkan prestasi individu, bukan dari partai",Sangat besar kemungkinan
50-59 tahun,Perempuan,Cerai Mati,SMA/Sederajat,Ibu rumah tangga,Ibu rumah tangga,< Rp. 2.500.000,Sengaja Golput,,Tidak kenal dengan kandidat yang ada,,"Ya, pernah",Tidak Tahu,Ya,Tidak Tahu,Cukup mudah,Jarang (hanya mendengar sesekali),Televisi,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Tidak Tahu,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
< 20 tahun,Perempuan,Tidak Menikah,SMP/Sederajat,Pelajar/Mahasiswa,Pelajar/Mahasiswa,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,Tidak pernah memilih,Ya,Ya,Tidak Tahu,Cukup mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Sangat berpengaruh,Tidak ada tekanan sama sekali,"Ya, terlalu padat dan membebani pemilih","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Sangat besar kemungkinan
30-39 tahun,Perempuan,Cerai Hidup,SMA/Sederajat,Pegawai swasta,Pegawai swasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,"Ya, pernah",Tidak Tahu,Ya,Tidak,Tidak Tahu,Tidak tertarik sama sekali,"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak Tahu,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Penyelenggaraannya menyesuaikan jadwal dan kondisi pekerja di luar kota,Ragu-ragu
30-39 tahun,Perempuan,Menikah,SMA/Sederajat,Ibu rumah tangga,Ibu rumah tangga,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Ya,Ya,Ya,Sangat mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, terlalu padat dan membebani pemilih","Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Tidak,Membuat informasi pilkada lebih menarik dan mudah diakses,Kampanye yang lebih informatif dan transparan,Cukup besar kemungkinan
